id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; color ; 
08CB ; FtrFishDolado ; dorado ; ドラド ; 黃金河虎 ; 黄金河虎 ; 도라도 ; dorado ; Lachssalmler ; dorado ; dorado ; dorado ; дорадо ; 
08CC ; FtrFishGa ; gar ; ガー ; 雀鱔 ; 雀鳝 ; 가아 ; gar ; Knochenhecht ; pez caimán ; luccio ; kaaimansnoek ; панцирная щука ; 
08CD ; FtrFishPiraruku ; arapaima ; ピラルク ; 巨骨舌魚 ; 巨骨舌鱼 ; 피라루쿠 ; arapaïma ; Arapaima ; pirarucú ; pirarucù ; arapaima ; арапаима ; 
08CE ; FtrFishEndlicheri ; saddled bichir ; エンドリケリー ; 恩氏多鰭魚 ; 恩氏多鳍鱼 ; 엔드리케리 ; bichir ; Flösselhecht ; bichir ensillado ; polipteride ; kwastsnoek ; многопер Эндлихера ; 
08CF ; FtrFishKurione ; sea butterfly ; クリオネ ; 海天使 ; 海天使 ; 클리오네 ; clione ; See-Engel ; mariposa marina ; cavolinia ; zeevlinder ; морской ангел ; 
08D0 ; FtrFishTatsunootoshigo ; sea horse ; タツノオトシゴ ; 海馬 ; 海马 ; 해마 ; hippocampe ; Seepferdchen ; caballito de mar ; ippocampo ; zeepaardje ; морской конек ; 
08D1 ; FtrFishKumanomi ; clown fish ; クマノミ ; 小丑魚 ; 小丑鱼 ; 흰동가리 ; poisson-clown ; Anemonenfisch ; pez payaso ; pesce pagliaccio ; clownvis ; рыба-клоун ; 
08D2 ; FtrFishNanyouhagi ; surgeonfish ; ナンヨウハギ ; 擬刺尾鯛 ; 拟刺尾鲷 ; 블루탱 ; poisson chirurgien ; Paletten-Doktorfisch ; pez cirujano ; pesce chirurgo ; doktersvis ; флаговый хирург ; 
08D3 ; FtrFishChouchouuo ; butterfly fish ; チョウチョウウオ ; 耳帶蝴蝶魚 ; 耳带蝴蝶鱼 ; 나비고기 ; poisson-papillon ; Falterfisch ; pez mariposa ; pesce farfalla ; koraalvlinder ; рыба-бабочка ; 
08D4 ; FtrFishNaporeonfish ; Napoleonfish ; ナポレオンフィッシュ ; 蘇眉魚 ; 苏眉鱼 ; 나폴레옹피시 ; napoléon ; Napoleonfisch ; pez napoleón ; pesce napoleone ; napoleonvis ; рыба-наполеон ; 
08D5 ; FtrFishMinokasago ; zebra turkeyfish ; ミノカサゴ ; 獅子魚 ; 狮子鱼 ; 쏠배감펭 ; poisson-scorpion ; Rotfeuerfisch ; pez león ; leone zebrato ; koraalduivel ; крылатка ; 
08D6 ; FtrFishFugu ; blowfish ; フグ ; 河豚 ; 河豚 ; 복어 ; poisson-ballon ; Kugelfisch ; pez globo ; pesce palla ; kogelvis ; бурый скалозуб ; 
08D7 ; FtrFishHarisenbon ; puffer fish ; ハリセンボン ; 刺河豚 ; 刺豚 ; 가시복 ; poisson-porc-épic ; Igelfisch ; pez erizo ; pesce istrice ; egelvis ; еж-рыба ; 
08D8 ; FtrFishAji ; horse mackerel ; アジ ; 竹筴魚 ; 竹荚鱼 ; 전갱이 ; chinchard ; Makrele ; jurel ; sgombro ; horsmakreel ; ставрида ; 
08D9 ; FtrFishIshidai ; barred knifejaw ; イシダイ ; 條石鯛 ; 条石鲷 ; 돌돔 ; scarus ; Schnabelbarsch ; dorada japonesa ; ishidai ; kraaibek ; полосатый оплегнат ; 
08DA ; FtrFishSuzuki ; sea bass ; スズキ ; 鱸魚 ; 鲈鱼 ; 농어 ; bar commun ; Seebarsch ; lubina ; spigola ; zeebaars ; морской судак ; 
08DB ; FtrFishTai ; red snapper ; タイ ; 鯛魚 ; 鲷鱼 ; 도미 ; vivaneau ; Kaiserschnapper ; pargo rojo ; lutiano rosso ; rode snapper ; красный луциан ; 
08DC ; FtrFishKarei ; dab ; カレイ ; 鰈魚 ; 鲽鱼 ; 가자미 ; limande ; Kliesche ; gallo ; platessa ; schar ; камбала ; 
08DD ; FtrFishHirame ; olive flounder ; ヒラメ ; 比目魚 ; 比目鱼 ; 넙치 ; cardeau ; Flunder ; rodaballo ; sogliola ; bot ; ложный палтус ; 
08DE ; FtrFishIka ; squid ; イカ ; 魷魚 ; 鱿鱼 ; 오징어 ; calmar ; Kalmar ; calamar ; calamaro ; pijlinktvis ; кальмар ; 
08DF ; FtrFishUtsubo ; moray eel ; ウツボ ; 裸胸鱔 ; 裸胸鳝 ; 곰치 ; murène ; Muräne ; morena ; murena ; murene ; мурена ; 
08E0 ; FtrFishHanahige ; ribbon eel ; ハナヒゲウツボ ; 五彩鰻 ; 五彩鳗 ; 리본장어 ; murène ruban bleue ; Nasenmuräne ; anguila de listón azul ; murena a nastro ; lintmurene ; носатая мурена ; 
08E1 ; FtrFishChouchinankou ; football fish ; チョウチンアンコウ ; 燈籠魚 ; 灯笼鱼 ; 초롱아귀 ; poisson lanterne ; Anglerfisch ; pez balón ; pesce abissale ; voetbalvis ; гимантолоф ; 
08E2 ; FtrFishMaguro ; tuna ; マグロ ; 鮪魚 ; 鲔鱼 ; 다랑어 ; thon ; Thunfisch ; atún ; tonno ; tonijn ; тунец ; 
08E3 ; FtrFishKajiki ; blue marlin ; カジキ ; 旗魚 ; 旗鱼 ; 청새치 ; marlin bleu ; Marlin ; pez espada ; marlin blu ; blauwe marlijn ; голубой марлин ; 
08E4 ; FtrFishGT ; giant trevally ; ロウニンアジ ; 浪人鰺 ; 白面弄鱼 ; 무명갈전갱이 ; carangue grosse tête ; Stachelmakrele ; jurel gigante ; carango gigante ; reuzenhorsmakreel ; гигантский каранкс ; 
08E5 ; FtrFishEi ; ray ; エイ ; 魟魚 ; 鳐鱼 ; 가오리 ; raie ; Rochen ; raya ; razza ; rog ; красный хвостокол ; 
08E6 ; FtrFishManbou ; ocean sunfish ; マンボウ ; 翻車魚 ; 翻车鱼 ; 개복치 ; lune de mer ; Mondfisch ; pez luna ; pesce luna ; klompvis ; луна-рыба ; 
08E7 ; FtrFishShumokuzame ; hammerhead shark ; シュモクザメ ; 雙髻鯊 ; 双髻鲨 ; 귀상어 ; requin marteau ; Hammerhai ; pez martillo ; pesce martello ; hamerhaai ; рыба-молот ; 
08E8 ; FtrFishSame ; great white shark ; サメ ; 鯊魚 ; 鲨鱼 ; 상어 ; grand requin blanc ; Hai ; tiburón ; squalo bianco ; witte haai ; большая белая акула ; 
08E9 ; FtrFishNokogiri ; saw shark ; ノコギリザメ ; 鋸鯊 ; 锯鲨 ; 톱상어 ; requin scie ; Sägehai ; pez sierra ; squalo sega ; zaaghaai ; акула-пилонос ; 
08EA ; FtrFishJinbee ; whale shark ; ジンベエザメ ; 鯨鯊 ; 鲸鲨 ; 고래상어 ; requin-baleine ; Walhai ; tiburón ballena ; squalo balena ; walvishaai ; китовая акула ; 
08EB ; FtrFishRyugu ; oarfish ; リュウグウノツカイ ; 皇帶魚 ; 皇带鱼 ; 산갈치 ; poisson-ruban ; Riemenfisch ; pez remo ; pesce remo ; riemvis ; сельдяной король ; 
08EC ; FtrFishSirakansu ; coelacanth ; シーラカンス ; 矛尾魚 ; 矛尾鱼 ; 실러캔스 ; cœlacanthe ; Quastenflosser ; celacanto ; celacanto ; coelacant ; латимерия ; 
105D ; FtrFishTyouzame ; sturgeon ; チョウザメ ; 鱘魚 ; 鲟鱼 ; 철갑상어 ; esturgeon ; Stör ; esturión ; storione ; steur ; осетр ; 
105E ; FtrFishThirapia ; tilapia ; ティラピア ; 吳郭魚 ; 吴郭鱼 ; 틸라피아 ; tilapia ; Tilapia ; tilapia ; tilapia ; tilapia ; тилапия ; 
105F ; FtrFishBeta ; betta ; ベタ ; 鬥魚 ; 斗鱼 ; 베타 ; combattant ; Kampffisch ; betta ; betta ; Siamese kempvis ; сиамский петушок ; 
1060 ; FtrFishKamitukigame ; snapping turtle ; カミツキガメ ; 擬鱷龜 ; 拟鳄龟 ; 늑대거북 ; tortue serpentine ; Schnappschildkröte ; tortuga mordedora ; tartaruga azzannatrice ; bijtschildpad ; каймановая черепаха ; 
1061 ; FtrFishGoldenTorauto ; golden trout ; ゴールデントラウト ; 金鱒 ; 金鳟 ; 금송어 ; truite dorée ; Goldforelle ; trucha dorada ; trota dorata ; goudforel ; золотая форель ; 
1062 ; FtrFishRainbowfish ; rainbowfish ; レインボーフィッシュ ; 彩虹魚 ; 彩虹鱼 ; 레인보우피시 ; poisson arc-en-ciel ; Regenbogenfisch ; pez arcoíris ; pesce arcobaleno ; regenboogvis ; радужница ; 
1069 ; FtrFishAntyobi ; anchovy ; アンチョビ ; 鳳尾魚 ; 凤尾鱼 ; 멸치 ; anchois ; Sardelle ; boquerón ; acciuga ; ansjovis ; хамса ; 
106A ; FtrFishShiira ; mahi-mahi ; シイラ ; 鬼頭刀 ; 鬼头刀 ; 만새기 ; coryphène ; Goldmakrele ; lampuga ; lampuga ; goudmakreel ; корифена ; 
106B ; FtrFishKobanzame ; suckerfish ; コバンザメ ; 吸盤魚 ; 吸盘鱼 ; 빨판상어 ; rémora rayé ; Schiffshalter ; rémora ; remora ; zuigvis ; прилипала ; 
106C ; FtrFishDemenigisu ; barreleye ; デメニギス ; 太平洋桶眼魚 ; 太平洋桶眼鱼 ; 데메니기스 ; macropinna ; Glaskopffisch ; pez cabeza transparente ; macropinna ; hemelkijker ; опистопрокт ; 
1486 ; FtrFishRanchu ; ranchu goldfish ; ランチュウ ; 蘭壽金魚 ; 兰寿金鱼 ; 난주 ; ranchu ; Ranchu ; ranchú ; ranchu ; buffelrug ; ранчу ; 
0A3C ; FtrDiveFishWakame ; seaweed ; ワカメ ; 裙帶菜 ; 裙带菜 ; 미역 ; wakame ; Wakame-Alge ; alga wakame ; alga wakame ; zeewier ; морские водоросли ; 
0B0E ; FtrDiveFishUmibudou ; sea grapes ; ウミブドウ ; 海葡萄 ; 海葡萄 ; 바다포도 ; algue raisin de mer ; Kriechsprossalge ; uva de mar ; vite di mare ; zeedruiven ; морской виноград ; 
0B0F ; FtrDiveFishUni ; sea urchin ; ウニ ; 海膽 ; 海胆 ; 성게 ; oursin ; Seeigel ; erizo de mar ; riccio di mare ; zee-egel ; морской еж ; 
0B10 ; FtrDiveFishFujitsubo ; acorn barnacle ; フジツボ ; 藤壺 ; 藤壶 ; 따개비 ; balane ; Seepocke ; bellota de mar ; dente di cane ; zeepok ; морской желудь ; 
0B11 ; FtrDiveFishKaki ; oyster ; オイスター ; 牡蠣 ; 牡蛎 ; 굴 ; huître ; Auster ; ostra ; ostrica ; oester ; устрица ; 
0B12 ; FtrDiveFishSazae ; turban shell ; サザエ ; 角蠑螺 ; 角蝾螺 ; 소라 ; turbo ; Turbanschnecke ; caracola espinosa ; lumaca turbante ; tulbandschelp ; рогатый тюрбан ; 
0B13 ; FtrDiveFishAwabi ; abalone ; アワビ ; 鮑魚 ; 鲍鱼 ; 전복 ; ormeau ; Seeohr ; abulón ; abalone ; abalone ; абалон ; 
0B16 ; FtrDiveFishAkoyagai ; pearl oyster ; アコヤガイ ; 珠母蛤 ; 马氏珠母贝 ; 진주조개 ; huître perlière ; Perlmuschel ; ostra perlera ; ostrica pinctada ; pareloester ; жемчужница ; 
0B17 ; FtrDiveFishHotate ; scallop ; ホタテ ; 帆立貝 ; 虾夷扇贝 ; 가리비 ; pétoncle ; Kammmuschel ; vieira ; capasanta ; mantelschelp ; гребешок ; 
0B18 ; FtrDiveFishIsogintyaku ; sea anemone ; イソギンチャク ; 海葵 ; 海葵 ; 말미잘 ; anémone de mer ; Seeanemone ; anémona ; anemone di mare ; zeeanemoon ; актиния ; 
0B19 ; FtrDiveFishHitode ; sea star ; ヒトデ ; 海星 ; 海星 ; 불가사리 ; étoile de mer ; Seestern ; estrella de mar ; stella marina ; zeester ; морская звезда ; 
0B1A ; FtrDiveFishNamako ; sea cucumber ; ナマコ ; 海參 ; 海参 ; 해삼 ; concombre de mer ; Seegurke ; pepino de mar ; cetriolo di mare ; zeekomkommer ; морской огурец ; 
0B1B ; FtrDiveFishUmiushi ; sea slug ; ウミウシ ; 海蛞蝓 ; 海蛞蝓 ; 갯민숭달팽이 ; limace de mer ; Nacktkiemer ; babosa de mar ; nudibranchi ; zeeslak ; голожаберник ; 
0B1C ; FtrDiveFishHiramushi ; flatworm ; ヒラムシ ; 海扁蟲 ; 海扁虫 ; 납작벌레 ; ver plat ; Meerstrudelwurm ; gusano políclado ; verme piatto ; platworm ; плоский червь ; 
0B1D ; FtrDiveFishShako ; mantis shrimp ; シャコ ; 蝦蛄 ; 虾蛄 ; 갯가재 ; crevette-mante ; Fangschreckenkrebs ; langosta mantis ; gambero mantide ; mantisgarnaal ; рак-богомол ; 
0B1E ; FtrDiveFishAmaebi ; sweet shrimp ; アマエビ ; 甜蝦 ; 甜虾 ; 북쪽분홍새우 ; crevette nordique ; Botan-Garnele ; camarón boreal ; gamberetto boreale ; Noorse garnaal ; северная креветка ; 
0B1F ; FtrDiveFishKurumaebi ; tiger prawn ; クルマエビ ; 日本囊對蝦 ; 日本对虾 ; 보리새우 ; crevette tigrée ; Kuruma-Garnele ; langostino tigre ; gambero black tiger ; tijgergarnaal ; тигровая креветка ; 
0B20 ; FtrDiveFishIseebi ; spiny lobster ; イセエビ ; 伊勢龍蝦 ; 伊势龙虾 ; 닭새우 ; langouste ; Languste ; langosta espinosa ; aragosta mediterranea ; langoest ; колючий лангуст ; 
0B21 ; FtrDiveFishLobster ; lobster ; ロブスター ; 螯龍蝦 ; 龙虾 ; 바닷가재 ; homard ; Hummer ; bogavante ; astice ; kreeft ; омар ; 
0B22 ; FtrDiveFishZuwaigani ; snow crab ; ズワイガニ ; 松葉蟹 ; 松叶蟹 ; 대게 ; crabe des neiges ; Schneekrabbe ; cangrejo de nieve ; granchio della neve ; sneeuwkrab ; краб-стригун ; 
0B24 ; FtrDiveFishTarabagani ; red king crab ; タラバガニ ; 鱈場蟹 ; 帝王蟹 ; 왕게 ; crabe royal ; Königskrabbe ; cangrejo boreal ; granchio gigante ; rode koningskrab ; камчатский краб ; 
0B25 ; FtrDiveFishTakaashigani ; spider crab ; タカアシガニ ; 高腳蟹 ; 高脚蟹 ; 키다리게 ; crabe-araignée géant ; Riesenkrabbe ; cangrejo gigante japonés ; granchio gig. del Giappone ; reuzenkrab ; краб-паук ; 
0B26 ; FtrDiveFishTako ; octopus ; タコ ; 章魚 ; 章鱼 ; 문어 ; poulpe ; Oktopus ; pulpo ; polpo ; octopus ; осьминог ; 
0B27 ; FtrDiveFishChinanago ; spotted garden eel ; チンアナゴ ; 花園鰻 ; 花园鳗 ; 가든일 ; anguille de jardin ; Röhrenaal ; anguila jardinera ; anguilla di giardino ; gevlekte buisaal ; леопардовый угорь ; 
0B28 ; FtrDiveFishOumugai ; chambered nautilus ; オウムガイ ; 鸚鵡螺 ; 鹦鹉螺 ; 앵무조개 ; nautile ; Perlboot ; nautilo ; nautilus ; nautilus ; наутилус ; 
0B29 ; FtrDiveFishKabutogani ; horseshoe crab ; カブトガニ ; 鱟 ; 鲎 ; 투구게 ; limule ; Pfeilschwanzkrebs ; cangrejo herradura ; granchio ferro di cavallo ; degenkrab ; мечехвост ; 
0B2A ; FtrDiveFishDaiougusokumushi ; giant isopod ; ダイオウグソクムシ ; 大王具足蟲 ; 大王具足虫 ; 자이언트 이소포드 ; bathynome géant ; Riesenassel ; isópodo gigante ; isopode gigante ; reuzenpissebed ; гигантская изопода ; 
1B08 ; FtrDiveFishHotaruika ; firefly squid ; ホタルイカ ; 螢火魷 ; 萤火鱿 ; 반딧불오징어 ; calmar luciole ; Leuchtkalmar ; calamar luciérnaga ; calamaro lucciola ; vuurvliegpijlinktvis ; сверкающий кальмар ; 
1C17 ; FtrDiveFishGazami ; gazami crab ; ガザミ ; 三疣梭子蟹 ; 梭子蟹 ; 꽃게 ; crabe gazami ; Gazami-Krabbe ; cangrejo gazami ; granchio gazami ; Japanse blauwe krab ; газами-краб ; 
1C23 ; FtrDiveFishKoumoridako ; vampire squid ; コウモリダコ ; 吸血烏賊 ; 吸血鬼乌贼 ; 흡혈오징어 ; vampire des abysses ; Vampirtintenfisch ; calamar vampiro ; calamaro vampiro ; vampierinktvis ; адский кальмар-вампир ; 
1C2E ; FtrDiveFishShakogai ; gigas giant clam ; オオシャコガイ ; 大硨磲 ; 大砗磲 ; 대왕거거 ; bénitier colossal ; Gigas-Riesenmuschel ; taclobo gigante ; tridacna gigante ; reuzendoopvontschelp ; гигантская тридакна ; 
1C3C ; FtrDiveFishHoya ; sea pineapple ; ホヤ ; 海鞘 ; 海鞘 ; 멍게 ; halocynthia roretzi ; Seeananas ; piña de mar ; ananas di mare ; zeeananas ; морской ананас ; 
1C4D ; FtrDiveFishMizukurage ; moon jellyfish ; ミズクラゲ ; 海月水母 ; 海月水母 ; 보름달물해파리 ; méduse lune ; Ohrenqualle ; medusa luna ; medusa aurelia ; oorkwal ; ушастая аурелия ; 
1C54 ; FtrDiveFishMendako ; umbrella octopus ; メンダコ ; 扁面蛸 ; 扁面蛸 ; 우무문어 ; pieuvre parapluie ; Regenschirm-Oktopus ; pulpo paraguas ; polpo ombrello ; depressa-inktvis ; опистотейтис ; 
1C63 ; FtrDiveFishPaipuuni ; slate pencil urchin ; パイプウニ ; 石筆海膽 ; 石笔海胆 ; 연필성게 ; oursin crayon ; Griffelseeigel ; erizo lápiz de pizarra ; riccio matita ; griffelzee-egel ; грифельный морск. еж ; 
1C6E ; FtrDiveFishBaigai ; whelk ; バイガイ ; 峨螺 ; 花螺 ; 수랑 ; bulot ; Babylon-Seeschnecke ; buccino ; buccino ; wulk ; моллюск-трубач ; 
1C87 ; FtrDiveFishSenjunamako ; sea pig ; センジュナマコ ; 海豬 ; 海猪 ; 바다돼지 ; cochon de mer ; Scotoplanes ; cerdo de mar ; porcellino di mare ; zeevarken ; скотопланес ; 
1C8C ; FtrDiveFishDungenessCrab ; Dungeness crab ; ダンジネスクラブ ; 首長黃道蟹 ; 珍宝蟹 ; 던지니스크랩 ; crabe de Dungeness ; Pazifik-Taschenkrebs ; buey del Pacífico ; granciporro ; Dungeness-krab ; данженесский краб ; 
1C96 ; FtrDiveFishKairoudouketsu ; Venus' flower basket ; カイロウドウケツ ; 偕老同穴 ; 偕老同穴 ; 해로동혈 ; corbeille de Vénus ; Gießkannenschwamm ; canasta de flores de Venus ; cestello di Venere ; venusmandje ; корзинка Венеры ; 
1CF3 ; FtrDiveFishMuhrugai ; mussel ; ムールガイ ; 貽貝 ; 贻贝 ; 지중해담치 ; moule ; Miesmuschel ; mejillón ; cozza ; mossel ; мидия ; 
055E ; ShellDriftEbisu ; sea snail ; エビスガイ ; 鐘螺殼 ; 钟螺壳 ; 방석고둥 ; escargot de mer ; Kreiselschnecke ; caracol de mar ; lumaca di mare ; zeeslakkenhuis ; ракушка морской улитки ; 
055F ; ShellDriftHone ; venus comb ; ホネガイ ; 骨螺殼 ; 骨螺壳 ; 뮤렉스조개 ; peigne de Vénus ; Stachelschnecke ; peine de Venus ; pettine di Venere ; venuskam ; ракушка мурекса ; 
0560 ; ShellDriftHora ; conch ; ホラガイ ; 海螺殼 ; 海螺壳 ; 소라고둥 ; conque ; Tritonshorn ; neptunea ; strombo ; gewone tritonshoren ; спиральная ракушка ; 
0563 ; ShellDriftSanddollar ; sand dollar ; サンドダラー ; 沙錢 ; 沙钱 ; 연잎성게 ; clypéastre ; Sanddollar ; dólar de arena ; dollaro sabbioso ; zanddollar ; панцирь морского ежа ; 
0564 ; ShellDriftSango ; coral ; サンゴ ; 珊瑚 ; 珊瑚 ; 산호 ; branche de corail ; Koralle ; coral ; corallo ; stuk koraal ; коралл ; 
0565 ; ShellDriftSyako ; giant clam ; シャコガイ ; 扇貝殼 ; 扇贝壳 ; 거거 ; bénitier géant ; Riesenmuschel ; almeja gigante ; vongola gigante ; doopvontschelp ; раковина тридакны ; 
0566 ; ShellDriftTakara ; cowrie ; タカラガイ ; 寶螺殼 ; 宝螺壳 ; 자패 ; porcelaine ; Kaurischnecke ; cauri ; ciprea ; kauri ; ракушка ципреи ; 
0A07 ; FtrShellFishAsari ; manila clam ; アサリ ; 蛤蜊 ; 蛤蜊 ; 바지락 ; palourde japonaise ; Teppichmuschel ; almeja japonesa ; vongola filippina ; tapijtschelp ; венерка ; 
175E ; ShellDriftSummer ; summer shell ; なつのかいがら ; 夏天貝殼 ; 夏天贝壳 ; 여름 조개껍데기 ; coquillage estival ; Sommermuschel ; caracola estival ; conchiglia estiva ; zomerschelp ; летняя ракушка ; 
00A9 ; FtrFossilAnkylosaurusA ; ankylo skull ; アンキロサウルスのあたま ; 甲龍的頭 ; 甲龙的头 ; 안킬로사우루스의 머리 ; crâne d'ankylosaure ; Ankylosaurus-Schädel ; cráneo anquilosaurio ; cranio anchilosauro ; ankylosauruskop ; череп анкилозавра ; 
00AA ; FtrFossilAnkylosaurusB ; ankylo torso ; アンキロサウルスのからだ ; 甲龍的身體 ; 甲龙的身体 ; 안킬로사우루스의 몸통 ; torse d'ankylosaure ; Ankylosaurus-Torso ; cuerpo anquilosaurio ; torso anchilosauro ; ankylosaurusromp ; торс анкилозавра ; 
00AB ; FtrFossilAnkylosaurusC ; ankylo tail ; アンキロサウルスのしっぽ ; 甲龍的尾巴 ; 甲龙的尾巴 ; 안킬로사우루스의 꼬리 ; queue d'ankylosaure ; Ankylosaurus-Schwanz ; cola anquilosaurio ; coda anchilosauro ; ankylosaurusstaart ; хвост анкилозавра ; 
00B1 ; FtrFossilArchelonA ; archelon skull ; アーケロンのあたま ; 帝龜的頭 ; 帝龟的头 ; 아르켈론의 머리 ; crâne d'archélon ; Archelon-Vorderteil ; cuerpo archelon ; cranio archelone ; archelonkop ; череп архелона ; 
00B2 ; FtrFossilArchelonB ; archelon tail ; アーケロンのからだ ; 帝龜的身體 ; 帝龟的身体 ; 아르켈론의 몸통 ; queue d'archélon ; Archelon-Hinterteil ; cola archelon ; coda archelone ; archelonstaart ; хвост архелона ; 
00B4 ; FtrFossilBrontotheriumA ; megacero skull ; メガセロプスのあたま ; 巨角犀的頭 ; 巨角犀的头 ; 메가케롭스의 머리 ; crâne de brontothérium ; Megacerops-Schädel ; cráneo brontoterio ; cranio brontoterio ; brontopskop ; череп бронтотерия ; 
00B5 ; FtrFossilBrontotheriumB ; megacero torso ; メガセロプスのからだ ; 巨角犀的身體 ; 巨角犀的身体 ; 메가케롭스의 몸통 ; corps de brontothérium ; Megacerops-Torso ; cuerpo brontoterio ; torso brontoterio ; brontopsromp ; торс бронтотерия ; 
